Baseline,Max RGB,Shades of Gray,Ben Graham
0.7266666889190674,0.753333330154419,0.653333306312561,0.7133333086967468
0.800000011920929,0.7799999713897705,0.7266666889190674,0.8333333134651184
0.7933333516120911,0.8199999928474426,0.8533333539962769,0.8266666531562805
0.8199999928474426,0.8600000143051147,0.8399999737739563,0.8199999928474426
0.8199999928474426,0.8133333325386047,0.8199999928474426,0.8266666531562805
0.8333333134651184,0.8333333134651184,0.8199999928474426,0.8533333539962769
0.8399999737739563,0.846666693687439,0.8333333134651184,0.8266666531562805
0.8133333325386047,0.8666666746139526,0.8399999737739563,0.8199999928474426
0.8199999928474426,0.8399999737739563,0.8333333134651184,0.8399999737739563
0.8399999737739563,0.8533333539962769,0.8199999928474426,0.8533333539962769
0.8066666722297668,0.8266666531562805,0.8199999928474426,0.846666693687439
0.846666693687439,0.8399999737739563,0.8333333134651184,0.8533333539962769
0.846666693687439,0.8399999737739563,0.8199999928474426,0.8600000143051147
0.8399999737739563,0.846666693687439,0.846666693687439,0.8733333349227905
0.8600000143051147,0.8266666531562805,0.8399999737739563,0.8866666555404663
0.846666693687439,0.8866666555404663,0.8333333134651184,0.8399999737739563
0.8533333539962769,0.8533333539962769,0.8133333325386047,0.8533333539962769
0.8666666746139526,0.8533333539962769,0.846666693687439,0.8533333539962769
0.846666693687439,0.8600000143051147,0.846666693687439,0.846666693687439
0.8600000143051147,0.846666693687439,0.7933333516120911,0.846666693687439
0.8733333349227905,0.8533333539962769,0.8266666531562805,0.8399999737739563
0.8600000143051147,0.846666693687439,0.800000011920929,0.8399999737739563
0.8666666746139526,0.8600000143051147,0.8266666531562805,0.8600000143051147
0.8600000143051147,0.8533333539962769,0.8133333325386047,0.846666693687439
