Baseline,HSV
0.7266666889190674,0.753333330154419
0.8199999928474426,0.7133333086967468
0.7933333516120911,0.753333330154419
0.8266666531562805,0.7799999713897705
0.8399999737739563,0.7666666507720947
0.8533333539962769,0.753333330154419
0.8066666722297668,0.7599999904632568
0.846666693687439,0.8133333325386047
0.846666693687439,0.7933333516120911
0.8399999737739563,0.7866666913032532
0.846666693687439,0.8266666531562805
0.8333333134651184,0.8199999928474426
0.8199999928474426,0.7866666913032532
0.8399999737739563,0.753333330154419
0.8399999737739563,0.7866666913032532
0.846666693687439,0.8199999928474426
0.846666693687439,0.8199999928474426
0.846666693687439,0.846666693687439
0.8600000143051147,0.8666666746139526
0.8533333539962769,0.8399999737739563
0.846666693687439,0.8533333539962769
0.8666666746139526,0.8399999737739563
0.8666666746139526,0.8399999737739563
0.8666666746139526,0.846666693687439
