Baseline,Without SE,Without SE and with ARL,With Both
0.6666666865348816,0.699999988079071,0.7266666889190674,0.6666666865348816
0.6800000071525574,0.699999988079071,0.6133333444595337,0.6733333468437195
0.8066666722297668,0.7866666913032532,0.7733333110809326,0.7933333516120911
0.7733333110809326,0.800000011920929,0.7799999713897705,0.7733333110809326
0.7933333516120911,0.7666666507720947,0.800000011920929,0.7866666913032532
0.800000011920929,0.7866666913032532,0.8133333325386047,0.8133333325386047
0.8066666722297668,0.8133333325386047,0.8066666722297668,0.8066666722297668
0.7733333110809326,0.7333333492279053,0.6800000071525574,0.8199999928474426
0.8133333325386047,0.7933333516120911,0.8133333325386047,0.8133333325386047
0.8199999928474426,0.8266666531562805,0.8066666722297668,0.8133333325386047
0.8133333325386047,0.753333330154419,0.8199999928474426,0.8266666531562805
0.8199999928474426,0.6933333277702332,0.800000011920929,0.8666666746139526
0.8199999928474426,0.6800000071525574,0.7933333516120911,0.8266666531562805
0.8133333325386047,0.8133333325386047,0.8066666722297668,0.8199999928474426
0.800000011920929,0.8133333325386047,0.7866666913032532,0.8333333134651184
0.8199999928474426,0.8266666531562805,0.800000011920929,0.846666693687439
0.8199999928474426,0.8133333325386047,0.8066666722297668,0.8600000143051147
0.8199999928474426,0.8133333325386047,0.8199999928474426,0.8333333134651184
0.8199999928474426,0.8133333325386047,0.7866666913032532,0.8199999928474426
0.8266666531562805,0.8199999928474426,0.8066666722297668,0.8266666531562805
0.8333333134651184,0.846666693687439,0.8133333325386047,0.8533333539962769
0.8133333325386047,0.8199999928474426,0.8066666722297668,0.846666693687439
0.8066666722297668,0.8066666722297668,0.8066666722297668,0.8199999928474426
0.8066666722297668,0.8133333325386047,0.800000011920929,0.8266666531562805
0.8333333134651184,0.746666669845581,0.8066666722297668,0.8199999928474426
0.8266666531562805,0.8266666531562805,0.8066666722297668,0.8266666531562805
0.8266666531562805,0.8266666531562805,0.8133333325386047,0.8133333325386047
0.8266666531562805,0.8266666531562805,0.8199999928474426,0.8399999737739563
0.8199999928474426,0.8399999737739563,0.8133333325386047,0.8266666531562805
0.8399999737739563,0.8399999737739563,0.8066666722297668,0.8266666531562805
